account_id,created_at,region,segment,acquisition_channel
ACC00001,2023-01-01,India,SMB,Partner
ACC00002,2023-01-01,North America,Mid-Market,Organic Search
ACC00003,2023-01-01,Europe,Mid-Market,Paid Social
ACC00004,2023-01-01,North America,Mid-Market,Organic Search
ACC00005,2023-01-01,APAC,Mid-Market,Partner
ACC00006,2023-01-01,North America,Enterprise,Paid Social
ACC00007,2023-01-01,North America,SMB,Paid Search
ACC00008,2023-01-02,North America,Mid-Market,Organic Search
ACC00009,2023-01-02,APAC,SMB,Paid Social
ACC00010,2023-01-02,APAC,SMB,Paid Social
ACC00011,2023-01-02,North America,SMB,Organic Search
ACC00012,2023-01-02,Latin America,Mid-Market,Organic Search
ACC00013,2023-01-02,APAC,SMB,Organic Search
ACC00014,2023-01-03,North America,SMB,Organic Search
ACC00015,2023-01-03,Latin America,Enterprise,Organic Search
ACC00016,2023-01-04,India,Mid-Market,Paid Search
ACC00017,2023-01-04,Europe,SMB,Organic Search
ACC00018,2023-01-05,APAC,Mid-Market,Partner
ACC00019,2023-01-05,North America,SMB,Referral
ACC00020,2023-01-05,North America,SMB,Organic Search
ACC00021,2023-01-05,North America,SMB,Partner
ACC00022,2023-01-05,North America,SMB,Paid Search
ACC00023,2023-01-05,North America,SMB,Paid Search
ACC00024,2023-01-05,Latin America,Mid-Market,Paid Search
ACC00025,2023-01-05,North America,SMB,Paid Social
ACC00026,2023-01-05,Latin America,SMB,Organic Search
ACC00027,2023-01-05,India,Enterprise,Paid Search
ACC00028,2023-01-05,APAC,SMB,Organic Search
ACC00029,2023-01-05,Europe,SMB,Paid Search
ACC00030,2023-01-06,Latin America,SMB,Paid Search
ACC00031,2023-01-06,India,SMB,Organic Search
ACC00032,2023-01-06,Europe,SMB,Referral
ACC00033,2023-01-07,India,SMB,Referral
ACC00034,2023-01-07,Latin America,SMB,Referral
ACC00035,2023-01-07,Latin America,Mid-Market,Partner
ACC00036,2023-01-07,North America,SMB,Referral
ACC00037,2023-01-07,Europe,Mid-Market,Paid Search
ACC00038,2023-01-07,India,SMB,Paid Social
ACC00039,2023-01-08,Europe,Mid-Market,Organic Search
ACC00040,2023-01-08,India,Mid-Market,Organic Search
ACC00041,2023-01-08,India,SMB,Paid Social
ACC00042,2023-01-08,APAC,SMB,Referral
ACC00043,2023-01-08,Europe,SMB,Paid Search
ACC00044,2023-01-08,North America,SMB,Organic Search
ACC00045,2023-01-09,Latin America,SMB,Organic Search
ACC00046,2023-01-09,Latin America,Mid-Market,Referral
ACC00047,2023-01-09,Europe,SMB,Paid Search
ACC00048,2023-01-09,North America,Enterprise,Referral
ACC00049,2023-01-10,APAC,SMB,Referral
ACC00050,2023-01-10,North America,Mid-Market,Partner
ACC00051,2023-01-10,North America,SMB,Paid Social
ACC00052,2023-01-10,Latin America,SMB,Organic Search
ACC00053,2023-01-10,North America,Mid-Market,Paid Social
ACC00054,2023-01-10,APAC,SMB,Organic Search
ACC00055,2023-01-11,India,Mid-Market,Referral
ACC00056,2023-01-11,APAC,SMB,Organic Search
ACC00057,2023-01-11,India,Mid-Market,Paid Social
ACC00058,2023-01-11,India,SMB,Paid Search
ACC00059,2023-01-11,India,SMB,Organic Search
ACC00060,2023-01-11,North America,SMB,Organic Search
ACC00061,2023-01-11,North America,Mid-Market,Paid Search
ACC00062,2023-01-11,North America,SMB,Paid Social
ACC00063,2023-01-11,North America,Mid-Market,Organic Search
ACC00064,2023-01-12,Europe,SMB,Paid Search
ACC00065,2023-01-12,India,SMB,Paid Search
ACC00066,2023-01-12,Europe,Enterprise,Partner
ACC00067,2023-01-12,India,SMB,Organic Search
ACC00068,2023-01-12,North America,SMB,Paid Social
ACC00069,2023-01-12,India,Mid-Market,Referral
ACC00070,2023-01-13,North America,SMB,Paid Search
ACC00071,2023-01-13,North America,Mid-Market,Partner
ACC00072,2023-01-13,Europe,SMB,Organic Search
ACC00073,2023-01-13,Europe,SMB,Referral
ACC00074,2023-01-13,North America,SMB,Partner
ACC00075,2023-01-13,North America,Mid-Market,Organic Search
ACC00076,2023-01-13,North America,SMB,Paid Search
ACC00077,2023-01-13,Latin America,Mid-Market,Partner
ACC00078,2023-01-14,India,SMB,Referral
ACC00079,2023-01-14,Europe,Mid-Market,Organic Search
ACC00080,2023-01-14,Latin America,SMB,Organic Search
ACC00081,2023-01-14,APAC,Mid-Market,Referral
ACC00082,2023-01-14,North America,Mid-Market,Partner
ACC00083,2023-01-14,APAC,SMB,Paid Social
ACC00084,2023-01-15,APAC,SMB,Paid Search
ACC00085,2023-01-15,India,SMB,Paid Social
ACC00086,2023-01-15,North America,Enterprise,Referral
ACC00087,2023-01-15,Europe,SMB,Paid Social
ACC00088,2023-01-16,APAC,Mid-Market,Paid Social
ACC00089,2023-01-16,APAC,SMB,Referral
ACC00090,2023-01-16,North America,SMB,Partner
ACC00091,2023-01-16,Europe,Mid-Market,Partner
ACC00092,2023-01-16,APAC,SMB,Organic Search
ACC00093,2023-01-16,North America,Mid-Market,Organic Search
ACC00094,2023-01-16,North America,Mid-Market,Referral
ACC00095,2023-01-16,North America,SMB,Referral
ACC00096,2023-01-16,Europe,SMB,Organic Search
ACC00097,2023-01-17,APAC,SMB,Paid Social
ACC00098,2023-01-17,North America,SMB,Organic Search
ACC00099,2023-01-17,North America,SMB,Paid Search
ACC00100,2023-01-17,India,Mid-Market,Paid Search
ACC00101,2023-01-17,Latin America,SMB,Referral
