account_id,snapshot_month,cohort_month,is_cohort_month,plan_id,mrr,acquisition_channel,region,segment,months_since_cohort
ACC00001,2023-01-01,2023-01-01,1,PLN_SCALE,799,Partner,India,SMB,0
ACC00001,2023-02-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,1
ACC00001,2023-03-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,2
ACC00001,2023-04-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,3
ACC00001,2023-05-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,4
ACC00001,2023-06-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,5
ACC00001,2023-07-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,6
ACC00001,2023-08-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,7
ACC00001,2023-09-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,8
ACC00001,2023-10-01,2023-01-01,0,PLN_SCALE,799,Partner,India,SMB,9
ACC00002,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Organic Search,North America,Mid-Market,0
ACC00002,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,1
ACC00002,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,2
ACC00002,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,3
ACC00002,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,4
ACC00002,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,5
ACC00002,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,6
ACC00002,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,7
ACC00002,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,8
ACC00002,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,9
ACC00002,2023-11-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,10
ACC00002,2023-12-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,11
ACC00002,2024-01-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,12
ACC00002,2024-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,13
ACC00003,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,0
ACC00003,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,1
ACC00003,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,2
ACC00003,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,3
ACC00003,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,4
ACC00003,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,5
ACC00003,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,6
ACC00003,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,7
ACC00003,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,8
ACC00003,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,9
ACC00003,2023-11-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,10
ACC00003,2023-12-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,11
ACC00003,2024-01-01,2023-01-01,0,PLN_GROWTH,199,Paid Social,Europe,Mid-Market,12
ACC00004,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Organic Search,North America,Mid-Market,0
ACC00004,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,1
ACC00004,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,2
ACC00004,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,3
ACC00004,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,4
ACC00004,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Organic Search,North America,Mid-Market,5
ACC00005,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Partner,APAC,Mid-Market,0
ACC00005,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,1
ACC00005,2023-03-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,2
ACC00005,2023-04-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,3
ACC00005,2023-05-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,4
ACC00005,2023-06-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,5
ACC00005,2023-07-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,6
ACC00005,2023-08-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,7
ACC00005,2023-09-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,8
ACC00005,2023-10-01,2023-01-01,0,PLN_GROWTH,199,Partner,APAC,Mid-Market,9
ACC00006,2023-01-01,2023-01-01,1,PLN_ENTERPRISE,2499,Paid Social,North America,Enterprise,0
ACC00006,2023-02-01,2023-01-01,0,PLN_ENTERPRISE,2499,Paid Social,North America,Enterprise,1
ACC00007,2023-01-01,2023-01-01,1,PLN_GROWTH,199,Paid Search,North America,SMB,0
ACC00007,2023-02-01,2023-01-01,0,PLN_GROWTH,199,Paid Search,North America,SMB,1
