subscription_id,account_id,plan_id,started_at,ended_at,status,seats,mrr
SUB00001,ACC00001,PLN_SCALE,2023-01-01,2023-10-19,cancelled,89,799
SUB00002,ACC00002,PLN_GROWTH,2023-01-01,2024-02-20,cancelled,22,199
SUB00003,ACC00003,PLN_GROWTH,2023-01-01,2024-01-01,cancelled,23,199
SUB00004,ACC00004,PLN_GROWTH,2023-01-01,2023-06-03,cancelled,18,199
SUB00005,ACC00005,PLN_GROWTH,2023-01-01,2023-10-02,cancelled,12,199
SUB00006,ACC00006,PLN_ENTERPRISE,2023-01-01,2023-02-22,cancelled,506,2499
SUB00007,ACC00007,PLN_GROWTH,2023-01-01,2025-06-27,cancelled,22,199
SUB00008,ACC00008,PLN_SCALE,2023-01-02,2024-10-15,cancelled,106,799
SUB00009,ACC00009,PLN_STARTER,2023-01-02,2023-03-10,cancelled,5,49
SUB00010,ACC00010,PLN_GROWTH,2023-01-02,2023-10-15,cancelled,13,199
SUB00011,ACC00011,PLN_STARTER,2023-01-02,2023-08-12,cancelled,4,49
SUB00012,ACC00012,PLN_GROWTH,2023-01-02,2025-08-05,cancelled,14,199
SUB00013,ACC00013,PLN_STARTER,2023-01-02,2023-04-21,cancelled,5,49
SUB00014,ACC00014,PLN_GROWTH,2023-01-03,2023-09-20,cancelled,15,199
SUB00015,ACC00015,PLN_SCALE,2023-01-03,2023-11-22,cancelled,104,799
SUB00016,ACC00016,PLN_GROWTH,2023-01-04,2023-06-27,cancelled,15,199
SUB00017,ACC00017,PLN_STARTER,2023-01-04,2023-08-13,cancelled,4,49
SUB00018,ACC00018,PLN_SCALE,2023-01-05,2023-12-24,cancelled,107,799
SUB00019,ACC00019,PLN_STARTER,2023-01-05,2024-05-13,cancelled,5,49
SUB00020,ACC00020,PLN_GROWTH,2023-01-05,2024-08-22,cancelled,16,199
SUB00021,ACC00021,PLN_STARTER,2023-01-05,2023-04-06,cancelled,4,49
SUB00022,ACC00022,PLN_STARTER,2023-01-05,2023-04-22,cancelled,4,49
SUB00023,ACC00023,PLN_GROWTH,2023-01-05,2023-09-08,cancelled,16,199
SUB00024,ACC00024,PLN_SCALE,2023-01-05,2023-02-20,cancelled,82,799
SUB00025,ACC00025,PLN_STARTER,2023-01-05,2025-02-08,cancelled,3,49
SUB00026,ACC00026,PLN_STARTER,2023-01-05,2023-05-12,cancelled,5,49
SUB00027,ACC00027,PLN_SCALE,2023-01-05,2023-05-08,cancelled,76,799
SUB00028,ACC00028,PLN_STARTER,2023-01-05,2023-10-16,cancelled,4,49
SUB00029,ACC00029,PLN_GROWTH,2023-01-05,2024-05-28,cancelled,23,199
SUB00030,ACC00030,PLN_STARTER,2023-01-06,2023-03-16,cancelled,5,49
SUB00031,ACC00031,PLN_GROWTH,2023-01-06,2023-11-11,cancelled,22,199
SUB00032,ACC00032,PLN_SCALE,2023-01-06,2024-04-24,cancelled,95,799
SUB00033,ACC00033,PLN_GROWTH,2023-01-07,2023-03-17,cancelled,14,199
SUB00034,ACC00034,PLN_STARTER,2023-01-07,2023-09-04,cancelled,4,49
SUB00035,ACC00035,PLN_SCALE,2023-01-07,2024-06-06,cancelled,60,799
SUB00036,ACC00036,PLN_STARTER,2023-01-07,2024-06-09,cancelled,5,49
