month,active_customers,new_customers,churned_customers,active_mrr,monthly_churn_rate
2023-01-01,191,191,0,98309.0,0.0
2023-02-01,395,204,19,215805.0,0.09047619047619047
2023-03-01,566,190,43,315684.0,0.1026252983293556
2023-04-01,695,172,49,378105.0,0.08566433566433566
2023-05-01,822,176,64,451928.0,0.09014084507042254
2023-06-01,944,186,70,499606.0,0.08454106280193237
2023-07-01,1112,238,75,582488.0,0.07903055848261328
2023-08-01,1250,213,112,658850.0,0.09747606614447346
2023-09-01,1327,189,110,706673.0,0.08814102564102565
2023-10-01,1419,202,125,767781.0,0.09314456035767511
2023-11-01,1468,174,120,795532.0,0.08486562942008487
2023-12-01,1573,225,115,843177.0,0.0786056049213944
2024-01-01,1658,200,139,901492.0,0.08703819661865998
2024-02-01,1722,203,142,939828.0,0.08549066827212523
2024-03-01,1789,209,142,982161.0,0.08246225319396051
2024-04-01,1858,211,173,1027242.0,0.09505494505494505
2024-05-01,1884,199,193,1066516.0,0.1027689030883919
2024-06-01,1866,175,170,1053084.0,0.09134873723804406
2024-07-01,1913,217,159,1076987.0,0.08571428571428572
2024-08-01,1957,203,190,1110593.0,0.09773662551440329
2024-09-01,1964,197,153,1100486.0,0.0796875
2024-10-01,2020,209,168,1144080.0,0.08489135927235977
2024-11-01,2056,204,180,1159394.0,0.08858267716535433
2024-12-01,2091,215,157,1200209.0,0.07722577471716675
2025-01-01,2136,202,186,1239614.0,0.08773584905660377
2025-02-01,2125,175,191,1240675.0,0.08921064922933208
2025-03-01,2133,199,179,1236167.0,0.08471367723615712
2025-04-01,2151,197,171,1291399.0,0.08047058823529411
2025-05-01,2198,218,178,1298502.0,0.082483781278962
2025-06-01,2227,207,175,1305223.0,0.07972665148063782
2025-07-01,2052,0,198,1230298.0,0.088
2025-08-01,1854,0,181,1131696.0,0.08894348894348894
2025-09-01,1673,0,168,1033927.0,0.09125475285171103
2025-10-01,1505,0,140,935795.0,0.0851063829787234
2025-11-01,1365,0,137,859735.0,0.09121171770972038
2025-12-01,1228,0,129,794272.0,0.0950626381724392
